File: log_2011.12.19 21:48:47.txt, 거리: 0.13439290269554416
File: log_2011.12.19 21:49:07.txt, 거리: 0.16395188143395767
File: log_2011.12.19 21:49:27.txt, 거리: 0.16149602233466043
File: log_2011.12.19 21:49:47.txt, 거리: 0.1965108083158399
File: log_2011.12.19 21:50:07.txt, 거리: 0.1223112354906285
File: log_2011.12.19 21:50:27.txt, 거리: 0.163784551724922
File: log_2011.12.19 21:50:47.txt, 거리: 0.21338738156899828
File: log_2011.12.19 21:51:07.txt, 거리: 0.1332756250772542
File: log_2011.12.19 21:51:27.txt, 거리: 0.24143330817741848
File: log_2011.12.19 21:51:47.txt, 거리: 0.16616987945473882
File: log_2011.12.19 21:52:07.txt, 거리: 0.15617413696317795
File: log_2011.12.19 21:52:27.txt, 거리: 0.16276117347530128
File: log_2011.12.19 21:52:47.txt, 거리: 0.16577067787955846
File: log_2011.12.19 21:53:07.txt, 거리: 0.18964672978913844
File: log_2011.12.19 21:53:27.txt, 거리: 0.24306545153819525
File: log_2011.12.19 21:53:47.txt, 거리: 0.1857990194165362
File: log_2011.12.19 21:54:07.txt, 거리: 0.18305323543552854
File: log_2011.12.19 21:54:27.txt, 거리: 0.15557683303479974
File: log_2011.12.19 21:54:47.txt, 거리: 0.19427048089781462
File: log_2011.12.19 21:55:07.txt, 거리: 0.16785083614598229
File: log_2011.12.19 21:55:27.txt, 거리: 0.1792367538543469
File: log_2011.12.19 21:55:47.txt, 거리: 0.13453570188585318
File: log_2011.12.19 21:56:07.txt, 거리: 0.24807575835410955
File: log_2011.12.19 21:56:27.txt, 거리: 0.1666004483693182
File: log_2011.12.19 21:56:47.txt, 거리: 0.17116259589685245
File: log_2011.12.19 21:57:07.txt, 거리: 0.1469380601779119
File: log_2011.12.19 21:57:27.txt, 거리: 0.15130377463562805
File: log_2011.12.19 21:57:47.txt, 거리: 0.24016043521089436
File: log_2011.12.19 21:58:07.txt, 거리: 0.19886576729068928
File: log_2011.12.19 21:58:27.txt, 거리: 0.15823776819631774
File: log_2011.12.19 21:58:47.txt, 거리: 0.17645772371220791
File: log_2011.12.19 21:59:07.txt, 거리: 0.20319243051677627
File: log_2011.12.19 21:59:27.txt, 거리: 0.2004240721272864
File: log_2011.12.19 21:59:47.txt, 거리: 0.13229769956240867
File: log_2011.12.19 22:00:07.txt, 거리: 0.1622822130812569
File: log_2011.12.19 22:00:27.txt, 거리: 0.2113341756072713
File: log_2011.12.19 22:00:47.txt, 거리: 0.18582058291290815
File: log_2011.12.19 22:01:07.txt, 거리: 0.045272086323501215
File: log_2011.12.19 22:01:27.txt, 거리: 0.2205044949975139
File: log_2011.12.19 22:01:47.txt, 거리: 0.1210293163200925
File: log_2011.12.19 22:02:07.txt, 거리: 0.14309124363695847
File: log_2011.12.19 22:02:27.txt, 거리: 0.16456166441446263
File: log_2011.12.19 22:02:47.txt, 거리: 0.20198903429800452
File: log_2011.12.19 22:03:07.txt, 거리: 0.21567321294007002
File: log_2011.12.19 22:03:27.txt, 거리: 0.08912956048964915
File: log_2011.12.19 22:03:47.txt, 거리: 0.1929476738943382
File: log_2011.12.19 22:04:07.txt, 거리: 0.18603321587679933
File: log_2011.12.19 22:04:27.txt, 거리: 0.2331604547206304
File: log_2011.12.19 22:04:47.txt, 거리: 0.16231426602087462
File: log_2011.12.19 22:05:07.txt, 거리: 0.15704492006410997
File: log_2011.12.19 22:05:27.txt, 거리: 0.11654088538538321
File: log_2011.12.19 22:05:47.txt, 거리: 0.13000073255440336
File: log_2011.12.19 22:06:07.txt, 거리: 0.18889094704940668
File: log_2011.12.19 22:06:27.txt, 거리: 0.21277875399535573
File: log_2011.12.19 22:06:47.txt, 거리: 0.20994412533148965
File: log_2011.12.19 22:07:07.txt, 거리: 0.2924334407019116
File: log_2011.12.19 22:07:27.txt, 거리: 0.2422701028744807
File: log_2011.12.19 22:07:47.txt, 거리: 0.21926597996914843
File: log_2011.12.19 22:08:07.txt, 거리: 0.20444018701559408
File: log_2011.12.19 22:08:27.txt, 거리: 0.17250823369330415
File: log_2011.12.19 22:08:47.txt, 거리: 0.1937419109438855
File: log_2011.12.19 22:09:07.txt, 거리: 0.2272744298226278
File: log_2011.12.19 22:09:27.txt, 거리: 0.1905431109204968
File: log_2011.12.19 22:09:47.txt, 거리: 0.10701044563780637
File: log_2011.12.19 22:10:07.txt, 거리: 0.18420103398397736
File: log_2011.12.19 22:10:27.txt, 거리: 0.14301911262729639
File: log_2011.12.19 22:10:47.txt, 거리: 0.24529047747652744
File: log_2011.12.19 22:11:07.txt, 거리: 0.17176080066348076
File: log_2011.12.19 22:11:27.txt, 거리: 0.19678369951068797
File: log_2011.12.19 22:11:47.txt, 거리: 0.20239003470482897
File: log_2011.12.19 22:12:07.txt, 거리: 0.16970907964129367
File: log_2011.12.19 22:12:27.txt, 거리: 0.2510786637197516
File: log_2011.12.19 22:12:47.txt, 거리: 0.1883865864940394
File: log_2011.12.19 22:13:07.txt, 거리: 0.12918916924276158
File: log_2011.12.19 22:13:27.txt, 거리: 0.1927366189188473
File: log_2011.12.19 22:13:47.txt, 거리: 0.16557385792719792
File: log_2011.12.19 22:14:07.txt, 거리: 0.1833409411105531
File: log_2011.12.19 22:14:27.txt, 거리: 0.1858569192972621
File: log_2011.12.19 22:14:47.txt, 거리: 0.1960945996578165
File: log_2011.12.19 22:15:07.txt, 거리: 0.13528672530591312
File: log_2011.12.19 22:15:27.txt, 거리: 0.2450468344714557
File: log_2011.12.19 22:15:47.txt, 거리: 0.16375157694879972
File: log_2011.12.19 22:16:07.txt, 거리: 0.20580744234049153
File: log_2011.12.19 22:16:27.txt, 거리: 0.1562574918524139
File: log_2011.12.19 22:16:47.txt, 거리: 0.1346096371123201
File: log_2011.12.19 22:17:07.txt, 거리: 0.07959397729850382
File: log_2011.12.19 22:17:27.txt, 거리: 0.16902202027558832
File: log_2011.12.19 22:17:47.txt, 거리: 0.17291109338854604
File: log_2011.12.19 22:18:07.txt, 거리: 0.24938648860422152
File: log_2011.12.19 22:18:27.txt, 거리: 0.2785769127774935
File: log_2011.12.19 22:18:47.txt, 거리: 0.2166900545271343
File: log_2011.12.19 22:19:07.txt, 거리: 0.1677847269017727
File: log_2011.12.19 22:19:27.txt, 거리: 0.19127329082783007
File: log_2011.12.19 22:19:47.txt, 거리: 0.15281193127212556
File: log_2011.12.19 22:20:07.txt, 거리: 0.1369724746379425
File: log_2011.12.19 22:20:27.txt, 거리: 0.23992143185470383
File: log_2011.12.19 22:20:47.txt, 거리: 0.17294197449112791
File: log_2011.12.19 22:21:07.txt, 거리: 0.23283129759699273
File: log_2011.12.19 22:21:27.txt, 거리: 0.17633789456020177
File: log_2011.12.19 22:21:47.txt, 거리: 0.14644439361515194
File: log_2011.12.19 22:22:07.txt, 거리: 0.17199172179789168
File: log_2011.12.19 22:22:27.txt, 거리: 0.2301811985291229
File: log_2011.12.19 22:22:47.txt, 거리: 0.1014299598400854
File: log_2011.12.19 22:23:07.txt, 거리: 0.15765397608626042
File: log_2011.12.19 22:23:27.txt, 거리: 0.16989084929989173
File: log_2011.12.19 22:23:47.txt, 거리: 0.18331628380911702
File: log_2011.12.19 22:24:07.txt, 거리: 0.17597252839637356
File: log_2011.12.19 22:24:27.txt, 거리: 0.13814009820922935
File: log_2011.12.19 22:24:47.txt, 거리: 0.15302800839315822
File: log_2011.12.19 22:25:07.txt, 거리: 0.18858951500442167
File: log_2011.12.19 22:25:27.txt, 거리: 0.1336468329354068
File: log_2011.12.19 22:25:47.txt, 거리: 0.1342561062970098
File: log_2011.12.19 22:26:07.txt, 거리: 0.16137407245135071
File: log_2011.12.19 22:26:27.txt, 거리: 0.1589671775159558
File: log_2011.12.19 22:26:47.txt, 거리: 0.14705007275057902
File: log_2011.12.19 22:27:07.txt, 거리: 0.18168158527746314
File: log_2011.12.19 22:27:27.txt, 거리: 0.20282856071418165
File: log_2011.12.19 22:27:47.txt, 거리: 0.1882961318224382
File: log_2011.12.19 22:28:07.txt, 거리: 0.17823686007511597
File: log_2011.12.19 22:28:27.txt, 거리: 0.21313821658906984
File: log_2011.12.19 22:28:47.txt, 거리: 0.23971100845741744
File: log_2011.12.19 22:29:07.txt, 거리: 0.1860389182302027
File: log_2011.12.19 22:29:27.txt, 거리: 0.13177326405293122
File: log_2011.12.19 22:29:47.txt, 거리: 0.15470300822928518
File: log_2011.12.19 22:30:07.txt, 거리: 0.13022712943858195
File: log_2011.12.19 22:30:27.txt, 거리: 0.2066325530026123
File: log_2011.12.19 22:30:47.txt, 거리: 0.1531132245971092
File: log_2011.12.19 22:31:07.txt, 거리: 0.1469621700538568
File: log_2011.12.19 22:31:27.txt, 거리: 0.15403847430057938
File: log_2011.12.19 22:31:47.txt, 거리: 0.1509345582110424
File: log_2011.12.19 22:32:18.txt, 거리: 0.20508313349584262
File: log_2011.12.19 22:32:38.txt, 거리: 0.16551723457111733
File: log_2011.12.19 22:32:58.txt, 거리: 0.11068424823151446
File: log_2011.12.19 22:33:18.txt, 거리: 0.15716498071693452
File: log_2011.12.19 22:33:38.txt, 거리: 0.15701686884651977
File: log_2011.12.19 22:33:58.txt, 거리: 0.21382729784792742
File: log_2011.12.19 22:34:18.txt, 거리: 0.14640033527083007
File: log_2011.12.19 22:34:38.txt, 거리: 0.23050989590041138
File: log_2011.12.19 22:34:58.txt, 거리: 0.04967992765880325
File: log_2011.12.19 22:35:18.txt, 거리: 0.14912990259091186
File: log_2011.12.19 22:35:38.txt, 거리: 0.1779052509717427
File: log_2011.12.19 22:35:58.txt, 거리: 0.1735833043058772
File: log_2011.12.19 22:36:18.txt, 거리: 0.20068759659396307
File: log_2011.12.19 22:36:38.txt, 거리: 0.22574170123601034
